#{"t_start": 1788899905.600558, "env_id": "None"}
r,l,t
0.928227,5,8695.107038
0.983123,4,8697.236351
0.9982,11,8701.31042
0.967373,23,8721.193572
0.943397,11,8726.826828
0.965369,10,8727.047432
0.939014,5,8727.180557
0.83146,7,8727.383977
0.97276,3,8732.021431
0.0,1,8792.74812
0.978294,3,8794.965478
0.968562,11,8797.473558
0.882577,8,8807.395414
0.891011,9,8816.990968
0.0,5,8890.53074
0.882365,13,8910.96738
0.913056,5,8919.056384
0.971241,10,8923.88517
0.938366,8,8924.12496
0.0,4,8985.416167
0.920347,5,8988.576494
0.993656,5,8988.704425
0.974483,8,8991.099487
0.977794,10,8991.342363
0.889565,18,9003.697641
0.892214,18,9010.471951
0.918357,17,9027.014858
0.951501,8,9030.247831
0.963462,17,9032.856083
0.974075,4,9038.832848
0.99491,3,9040.849501
0.960342,8,9045.81964
0.979646,5,9048.970485
0.945607,13,9058.323905
0.0,14,9120.891186
0.884849,8,9121.150976
0.916345,13,9121.513345
0.989578,6,9123.72776
0.956113,5,9126.390014
0.989311,22,9135.03155
0.934828,6,9138.85989
0.865149,7,9139.104915
0.99163,9,9141.764874
0.987916,4,9147.522291
0.87102,4,9155.647815
0.911764,17,9171.229752
0.937323,8,9171.419686
0.866327,6,9180.798508
0.955026,23,9197.773051
0.982946,12,9200.610965
0.905032,7,9201.22979
0.894069,13,9218.690922
0.0,2,9279.092812
0.909225,7,9294.760366
0.903673,4,9297.871526
0.802059,8,9309.894752
0.936372,4,9312.903761
0.967373,21,9323.011052
0.977709,13,9329.705185
0.912533,17,9349.97423
0.962131,9,9352.95476
0.942857,6,9355.890987
0.921283,10,9360.475752
0.729534,4,9380.551081
0.996823,7,9380.715048
0.924581,5,9383.629729
0.922699,6,9387.645062
0.887326,30,9401.917379
0.848314,9,9420.919589
0.0,6,9531.810249
0.991481,14,9534.384969
0.972672,11,9541.396075
0.88712,20,9545.3454
0.972906,6,9553.838786
0.0,3,9614.163156
0.848467,5,9620.603525
0.949392,3,9623.356655
0.955221,7,9623.549151
0.963313,7,9623.767935
0.922755,5,9626.34046
0.988064,4,9628.558775
0.974132,7,9633.399616
0.913433,4,9633.505597
0.995059,5,9635.511975
0.948138,6,10007.736043
0.987916,4,10012.061239
0.824999,6,10018.484761
0.956944,10,10022.754111
0.911735,7,10022.945509
0.952818,10,10032.793133
0.976505,8,10038.215034
0.980058,5,10038.336564
0.885914,9,10038.607782
0.953817,8,10043.962068
0.961727,6,10049.532084
0.942294,7,10055.011292
0.979646,5,10058.214871
0.926724,7,10066.7405
0.865357,6,10067.079539
0.825421,12,10073.336254
0.982769,9,10075.971315
0.950616,7,10079.05913
0.981088,6,10079.238863
0.921064,3,10079.326915
0.921423,12,10085.807606
0.97856,12,10090.468822
0.024265,5,10097.696173
0.980734,7,10100.026365
0.99491,4,10102.058725
0.933145,3,10107.91524
0.93603,27,10111.254581
0.820187,5,10111.469105
0.961118,4,10111.57834
0.906469,6,10114.547404
0.924912,7,10114.719905
0.825099,7,10119.778665
0.851629,7,10121.020307
0.993119,6,10123.203425
0.99491,13,10125.268985
0.929929,9,10137.751096
0.974075,4,10141.183584
0.976124,3,10143.366876
0.970602,5,10146.249818
0.984362,6,10146.400189
0.972322,12,10151.74379
0.0,4,10212.452175
0.974893,8,10219.366601
0.913056,4,10227.427778
0.913139,6,10234.443518
0.926916,3,10234.551889
0.984659,10,10237.081539
0.951673,5,10237.359973
0.0,1,10297.67253
0.964964,26,10309.078804
0.0,1,10369.750187
0.918166,6,10370.052074
0.987916,15,10378.818298
0.975742,7,10381.181787
0.960284,4,10386.070941
0.995208,10,10388.18694
0.937356,8,10391.270241
0.940282,4,10391.375624
0.90324,8,10424.892343
0.976739,5,10425.074957
0.907394,5,10425.211711
0.966354,4,10427.559689
0.945834,10,10430.577819
0.920151,7,10438.65941
0.979499,5,10440.985047
0.926414,8,10443.685681
0.973344,5,10445.954552
0.957086,11,10446.224398
0.973051,10,10452.327847
0.961727,4,10455.24562
0.920347,6,10458.843521
0.931603,4,10458.950738
0.123233,8,10459.563318
0.958844,12,10472.5062
0.935758,12,10481.213742
0.971885,6,10483.47408
0.988064,3,10485.899408
0.929088,24,10497.65356
0.982739,5,10500.059974
0.0,10,10567.173141
0.964906,6,10570.196019
0.938732,4,10573.191798
0.960456,4,10573.289716
0.986286,3,10575.858178
0.948539,5,10578.477031
0.949534,4,10581.303595
0.927471,3,10581.381513
0.956455,4,10581.518579
0.926916,4,10581.655124
0.967373,10,10589.039544
0.947282,10,10591.912515
0.958869,5,10592.100285
0.975273,3,10592.179437
0.894573,21,10593.687409
0.0,6,10656.513053
0.90636,13,10669.499702
0.957748,5,10669.651769
0.911681,6,10673.091129
0.883239,7,10673.895455
0.96291,6,10676.541579
0.968243,5,10679.10447
0.893527,8,10684.457659
0.813399,4,10694.798859
0.945833,16,10698.256719
0.930516,7,10702.032113
0.932189,10,10708.955974
0.99491,4,10710.930645
0.895029,23,10720.407264
0.94805,5,10720.539378
0.93882,9,10723.444058
0.949534,4,10726.28229
0.942828,6,10726.517749
0.96563,4,10726.702753
0.940282,5,10726.920213
0.938085,3,10727.003046
0.87102,17,10731.957074
0.947257,6,10737.770323
0.984274,10,10738.026983
0.968969,9,10738.286262
0.76298,15,10739.020539
0.914063,10,10742.051902
0.919104,6,10745.014458
0.979147,8,10745.219458
0.986048,6,10745.398282
0.980558,6,10747.845464
0.957262,11,10756.084321
0.940743,11,10764.666972
0.955136,15,10770.430765
0.962737,9,10778.950083
0.979498,4,10779.084701
0.952675,4,10781.839679
0.924479,12,10788.242369
0.937578,13,10793.620814
0.993686,4,10793.716803
0.944839,10,10794.017374
0.917942,6,10796.777991
0.995238,16,10799.071463
0.981676,5,10799.191155
0.964443,6,10799.335071
0.965804,4,10799.466451
0.989043,12,10799.739153
0.972614,6,10802.117507
0.912779,5,10820.451048
0.795541,4,10821.777534
0.757684,7,10828.63116
0.937525,7,10831.733755
0.979735,3,10833.869523
0.903046,4,10834.007267
0.913056,4,10838.38083
0.913022,7,10838.569849
0.792088,22,10852.143694
0.939441,4,10852.254508
0.942859,5,10857.429839
0.925138,3,10860.285609
0.967431,5,10862.775261
0.901615,12,10908.617327
0.934011,22,10915.7407
0.989697,16,10920.251206
0.963835,3,10920.344167
0.989905,15,10924.589066
0.960772,4,10924.694143
0.986256,7,10924.912256
0.972262,4,10925.023222
0.123418,10,10925.802301
0.988866,10,10930.078959
0.969262,10,10932.642121
0.887944,3,10932.73961
0.864034,4,10932.854183
0.934992,12,10938.905112
0.967487,9,10939.368965
0.982887,4,10944.074882
0.002956,6,10945.370205
0.949392,5,10948.061375
0.901615,5,10951.517842
0.942294,6,10954.919013
0.943253,29,10971.666063
0.931439,6,10974.440096
0.944669,5,10979.768332
0.959791,6,10979.966644
0.979176,12,10982.437262
0.964848,11,10985.256318
0.899528,5,10985.407049
0.931322,5,10985.599855
0.979294,5,10987.849272
0.959821,11,10991.031034
0.862687,5,10995.552483
0.907693,8,10995.921998
0.729709,4,11015.917553
0.91322,6,11022.826789
0.926863,7,11031.548498
0.961727,5,11034.425177
0.89423,5,11042.450275
0.913049,3,11042.536615
0.820187,3,11042.65138
0.936372,3,11045.608497
0.909386,8,11045.848429
0.978352,3,11045.926485
0.982739,3,11050.391938
0.907726,4,11053.969803
0.993686,7,11054.14845
0.946003,6,11054.29769
0.893607,7,11054.51075
0.937437,3,11054.598423
0.881915,4,11054.796269
0.941642,4,11054.90735
0.988924,3,11054.990891
0.858138,4,11055.128747
0.990588,3,11055.213325
0.002094,4,11056.34505
0.758094,22,11061.426775
0.903127,7,11061.623337
0.89554,8,11061.977766
0.842979,11,11075.338665
