#{"t_start": 1789501611.0506365, "env_id": "None"}
r,l,t
0.92349,23,15545.417196
0.862461,8,15551.929947
0.998249,5,15554.057814
0.444721,10,15565.490308
0.748799,4,15573.242101
0.708459,18,15589.308237
0.880521,5,15594.486635
0.986395,7,15596.839622
0.789179,7,15603.123455
0.909175,13,15609.872573
0.923442,8,15612.576817
0.915916,23,15620.205736
0.923898,8,15626.301024
0.7413,7,15632.747748
0.891567,10,15636.524359
0.998849,3,15638.576035
0.441454,10,15688.324752
0.841884,12,15691.134758
0.726176,13,15700.020199
0.948735,5,15703.902989
0.987702,15,15704.248463
0.950346,8,15704.604105
0.870707,5,15704.745218
0.939207,10,15705.004675
0.69229,29,15713.13479
0.503519,10,15727.441376
0.950539,7,15731.27337
0.0,3,15792.736486
0.977351,3,15795.132
0.868714,3,15799.50661
0.724559,8,15813.225276
0.690572,5,15824.059787
0.0,8,15930.315105
0.586217,27,15992.953556
0.804775,6,16004.774073
0.910956,8,16038.469367
0.890591,15,16050.321587
0.0,9,16165.398558
0.807639,8,16171.28531
0.98348,21,16171.784148
0.920638,7,16177.425951
0.0,14,16261.498774
0.993339,3,16267.796775
0.852082,5,16275.555829
0.613627,9,16293.039902
0.820603,30,16325.119385
0.911067,12,16325.462719
0.932858,6,16325.622819
0.91487,4,16330.136163
0.998249,3,16332.232098
0.718552,9,16332.610501
0.656223,7,16337.081726
0.776453,24,16345.561231
0.091143,15,16382.645529
0.0,3,16443.386479
0.555982,12,16465.518471
0.740148,10,16469.285742
0.743099,10,16481.919903
0.981555,8,16484.345391
0.904976,6,16484.516779
0.998849,8,16486.543666
0.678902,10,16495.201299
0.143714,5,16521.607775
0.477755,8,16534.533823
0.849893,9,16541.210603
0.993339,3,16547.562866
0.38453,13,16571.204215
0.013158,11,16573.578801
0.913043,4,16577.044857
0.730446,6,16587.766239
0.786913,9,16601.624704
0.890283,8,16605.78977
0.501591,10,16610.125376
0.808525,11,16610.527933
0.0,9,16629.564935
0.0,11,16692.289188
0.463674,9,16712.911114
0.392708,10,16713.652289
0.753768,21,16730.154298
0.968865,7,16730.34993
0.955542,4,16732.987391
0.0,16,16931.73211
0.0,6,17000.01297
0.909837,7,17008.449811
0.859981,31,17021.989663
0.74883,8,17022.326323
0.227326,3,17046.819958
0.998669,21,17055.912574
0.624263,16,17079.551268
0.071705,7,17122.631208
0.260631,49,17180.06826
0.916434,7,17180.300085
0.779651,10,17180.64703
0.529553,32,17230.380546
0.0,9,17294.252249
